country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
COL,.54767215,-.28047177,.028791616,.46763211,.65502858,-.14635868,.013597098,.033904836,.042512327,.0057681422,.0033900288,.0033900288,.013664071,.072933532,.0069276835,.023243379,.011429686,.0051468094,.0041045486,.0026875453,.0067920941,.60431272,.0033900288,-.0029673423,.0046005906,-.0063573709,.0012105618,5.7163720e-06,5.7574389e-06,.0041045486,COL
CRI,-.12588151,.40680733,-.18628776,.17901629,.0085861711,.0061116358,.016132208,.16165172,.037762489,-.00041680445,.010711767,.010711767,.012851534,.53175378,.0051273974,.0052346983,.016946927,.026951369,.021471953,.0063066394,.027778592,.77296764,.010711767,.037760921,.01061398,.027049156,-.000097787401,.000039993356,.000039764142,.021471953,CRI
CZE,.071520358,-.10013307,.6194247,-.13488343,.17556107,-.13285895,.0041550505,-.040306691,.011479168,-.00040388649,.0091133006,.0091133006,.010419562,.034959719,.0042188284,.0024244369,.022055106,.0023153268,.00058346253,.0044249631,.0050084256,.1164962,.0091133006,.0067667901,.0091444841,-.0023465103,.000031183521,.000019578218,.000019579327,.00058346253,CZE
DEU,-.17329063,-.19524199,-.18219601,.11753694,.78523529,-.067575373,.0095114056,-.060813881,.011943007,.000047082252,.0034045035,.0034045035,.0046080016,.057307787,.003565131,.009691284,.018755576,.0002723377,8.9907790e-06,.0037946571,.0038036478,.0023637253,.0034045035,.003120339,.0034163301,-.00028416436,.000011826666,.000014386988,.000014399283,8.9907790e-06,DEU
DNK,.12142244,-.67342806,.37564948,-.05847897,.5871653,-.16892989,.00069927087,-.094300494,.012598,.00037138571,.0068682968,.0068682968,.015355358,.32022062,.0053722593,.0054036933,.013810229,.012855927,.0095299622,.0042364318,.013766394,.69226277,.0068682968,-.0062412689,.0071219346,-.013109566,.00025363782,.000017652885,.000017883021,.0095299622,DNK
DOM,-.085735895,-.32658303,.23468301,.13049826,.35773662,.16616781,.02936062,.043118443,.048802514,-.00025602363,.0034993945,.0034993945,.011572906,.37259048,.011478576,.0048432169,.016075391,.0050069648,.0022366601,.0049256827,.0071623428,.31228054,.0034993945,.0087143322,.0032914213,.005214938,-.00020797313,.000024103574,.000024219094,.0022366601,DOM
ECU,.47717944,-.35446903,.030392554,-.11447288,.72854549,-.32919449,.023604209,.0049034953,.039039504,.01032955,.0020338597,.0020338597,.0079585873,.031809065,.016390989,.034718223,.018788287,.00045166523,.000097487049,.0038125711,.0039100582,.024932379,.0020338597,.003046351,.0025946856,.0010124912,.00056082598,.000014263415,.000014221171,.000097487049,ECU
EGY,.092258088,.44896519,.12133244,-.032929692,.31812701,.17698593,.019583615,-.0010319569,.039906785,.0045460626,.000054749999,.000054749999,.01410925,.032279067,.01478373,.0086612301,.012685057,.00033984031,.000035436024,.0025579657,.0025934018,.013663916,.000054749999,-.00033577124,.00010543095,-.00039052125,.000050680952,6.5732261e-06,6.5406202e-06,.000035436024,EGY
ESP,-.48038399,-.091553718,-.041275501,.072729066,.0027114705,.046170637,-.0049669091,.076968461,.013199241,-.0027390232,.00023384587,.00023384587,.030606739,.11418524,.003512321,.014569399,.0079821199,.013848627,.012130655,.0019658846,.01409654,.86054134,.00023384587,.014193404,.00012291344,.013959559,-.00011093243,3.8431613e-06,3.8523967e-06,.012130655,ESP
EST,.55556381,-.32928088,-.56523019,.68774962,.82669264,-.53679496,.0019752057,.084127687,.023189044,.0033804341,.010363059,.010363059,.045473974,.43113792,.013286117,.0043100826,.023856072,.005080366,.0019097528,.0064354376,.0083451904,.22884473,.010363059,.015693186,.010612819,.0053301263,.0002497602,.000041231957,.000041352476,.0019097528,EST
FIN,.19646929,.27996895,.26866621,.48135838,.57007152,-.23048216,.003312631,.016907953,.014105828,-.0045731827,-.0054965853,-.0054965853,.014355331,.19283761,.0032646356,.013387556,.026081175,.004481344,.0023112211,.0057067703,.0080179907,.28825438,-.0054965853,.00026518211,-.0042161616,.0057617673,.0012804236,.000031090218,.000030927742,.0023112211,FIN
FRA,.35477349,.10525301,-.027661402,.15273628,.87382126,.054537926,.0045765312,-.063614219,.014518512,-.000059783459,-.00091333291,-.00091333291,.0065880152,.075180173,.0023697459,.011251416,.01007418,.023160433,.021804595,.00231824,.024122834,.90389854,-.00091333291,-.024939485,-.0017790508,-.024026152,-.00086571794,4.6552354e-06,4.6247696e-06,.021804595,FRA
GAB,.39275065,-.40405154,-.0042802338,.011371516,.64830053,-.39406082,.037091359,-.044247985,.03382707,-.00038170273,-.0033835196,-.0033835196,.011438736,.086276732,.017269414,.0037008403,.015001805,.0019439578,.00057909597,.0031223556,.0037014515,.15645105,-.0033835196,-.0053781727,-.0034342152,-.0019946534,-.000050695537,9.7221009e-06,9.7465345e-06,.00057909597,GAB
GBR,.51930958,-.036686782,.60818827,.26074296,.58888614,.4126735,.0096425572,-.066098779,.01508219,.00052178989,-.0011527629,-.0011527629,.0088251969,.073946312,.0038857793,.0047242548,.011404238,.010842327,.0090757674,.002433226,.011508993,.78858048,-.0011527629,-.012409236,-.0015669089,-.011256473,-.00041414596,5.7487400e-06,5.7490711e-06,.0090757674,GBR
GEO,.049731992,.10252597,-.31122631,-.36440492,.10664568,-.22550648,-.000044646589,.040535692,.018285103,-.001362909,,,.013199126,.20123526,.01578231,.013364836,,.0009698752,,,,,,,,.0010512037,.00008132845,,,,GEO
GIN,.15806764,-.26012248,-.077928394,.58338624,-.21356496,.17841935,.027131049,.054280058,.080438584,-.00033787705,,,.004424999,.14760095,.055913117,.0024397094,,.029466644,,,,,,,,-.029705809,-.00023916626,,,,GIN
GTM,.20318234,.2026287,.15996037,-.39443344,.13939844,.16199498,.032789633,-.027440542,.020341266,-.0039521726,-.00061786931,-.00061786931,.035644744,.3164942,.0028009603,.0064603789,.019735599,.025505647,.021340385,.0050767828,.026417168,.80782259,-.00061786931,-.026544364,-.0010387161,-.025926495,-.00042084674,.000025683648,.000025596612,.021340385,GTM
