country_byte,corr_N1_K_out,corr_N1_N2_out,corr_N2_L,corr_N1_L,corr_L_K,corr_N2_K_out,g_L,g_n1,g_k,g_n2,dlog_tfp,g_A,sdL,sdn1,sdK,sdn2,sdA,bias_reduction,RMSE_reduction,RMSE_baseline,RMSE_baseline_NK,RMSE_reduction_share,g_A_bar,g_hat_A,g_tilde_A,bias0,bias1,var0,var1,RMSE_reduction_topcode,country_string
ESP,.18577319,.23322009,-.13556071,.43890744,.64999437,-.25874203,.03275574,-.10645527,.040977117,.00016051989,-.0047652544,-.0047652544,.014291709,.19522187,.0041911849,.013696503,.0037298477,-.0012309344,-.00060714775,.0028418379,.0022346904,-.27169213,-.0047652544,-.0040704645,-.0028395299,.0006947901,.0019257246,4.5111074e-06,4.3676287e-06,-.00060714775,ESP
EST,.2323218,.88312858,.35325158,.39867222,.6113013,.24967793,.0031672211,.032933977,.04724982,-.0016022141,.032357343,.032357343,.02147752,.54975533,.020646742,.027554946,.037099585,.00044926186,.00017585453,.0092418343,.0094176894,.01867279,.032357343,.033171635,.031992313,.00081429072,-.00036502889,.000088029796,.000085278261,.00017585453,EST
FIN,-.31806564,.24966218,-.15098482,-.081747398,.25567305,.41769439,.017135262,.11953847,.02538573,-.0012855896,.014601278,.014601278,.0077004065,.17782295,.0038923367,.014994628,.014199312,.019564245,.018273894,.0044101728,.022684067,.80558276,.014601278,.037033048,.011733752,.02243177,-.0028675264,.000011382542,.000011226918,.018273894,FIN
FRA,.19807552,.36152428,.32730097,.0346605,.85319936,.45381281,.010536983,-.080085866,.022368025,-.0011437765,.0052880538,.0052880538,.0076344451,.057416331,.0031447732,.0060452316,.0096921921,.015113885,.013944074,.0022237068,.01616778,.86246061,.0052880538,-.010751933,.0043619517,-.016039986,-.00092610205,4.1159583e-06,4.0872069e-06,.013944074,FRA
GAB,-.0012848937,-.35888255,-.3414306,.16669336,-.045429319,.31125283,.022919687,-.026559077,.0095355101,-.00014427074,-.015541369,-.015541369,.0037220859,.065289482,.014758496,.0043858304,.04380272,.0040091332,.00099185738,.0087897927,.0097816493,.10139981,-.015541369,-.019845542,-.01524633,-.0043041725,.00029503921,.000077154771,.000077173405,.00099185738,GAB
GBR,.46986231,-.34858361,.19606318,-.030027624,-.072099239,-.19788988,.01112263,-.037718143,.024271782,.00090718729,.0084726531,.0084726531,.0027846596,.05543147,.0032332754,.0075938781,.010200762,.011182734,.0094819041,.0021269161,.01160882,.8167845,.0084726531,-.0029430727,.0082396613,-.011415726,-.00023299157,4.4459071e-06,4.4694866e-06,.0094819041,GBR
GEO,-.74893701,.3233749,-.10880744,.35851786,-.28122765,-.24742359,-.01978511,.099445954,.0069739451,-.0035952146,,,.038921829,.18479541,.017667908,.025169864,,.0075325263,,,,,,,,.0081396578,-.00060713175,,,,GEO
GIN,.029200859,-.29144165,.34187514,-.084087692,.28902125,.11844661,.020642905,.029172318,.057578858,-.00069711299,,,.0029486904,.058375277,.027715722,.0025835175,,.0025166168,,,,,,,,.0028234192,-.00030680237,,,,GIN
GRC,-.18795104,-.42583191,-.36499837,.31249982,.28437465,-.39949155,.010388475,-.0084783249,.034066834,-.0062481901,.0093308678,.0093308678,.013075891,.066252828,.0066620684,.002776128,.017864756,.0035554864,.0014629482,.0036339161,.0050968644,.28702906,.0093308678,.012906899,.0093514118,.0035760305,.000020544012,.000013190031,.000013204924,.0014629482,GRC
GTM,-.27737024,.05697462,.017385457,-.18078369,-.097257018,.41526592,.0269836,.067820735,.040686864,-.0044109961,.0022093258,.0022093258,.003170894,.56230795,.0094140954,.012759436,.0068041831,.08593367,.08208546,.0061631701,.088248633,.9301613,.0022093258,.090267554,.000084763939,.088058233,-.0021245619,.000033568936,.0000334709,.030518254,GTM
HND,-.31529143,.02013213,.1751456,.21461119,.23250796,-.063198932,.034660008,.038872395,.047649454,-.0034513611,-.0018140224,-.0018140224,.029951433,.2006529,.016042573,.017016253,.035606384,.009788529,.0048994785,.007398637,.012298116,.39839262,-.0018140224,.0080074947,-.0018470112,.0098215174,-.000032988686,.000054781445,.000054738743,.0048994785,HND
HRV,.08033856,-.076516449,-.19317651,.22654009,.59842438,.50394732,.010549812,.0019818177,.036218598,-.015179662,.013216141,.013216141,.01262154,.25412109,.012044339,.056113034,.020559106,-.00043586621,-.00035071422,.0085865585,.0082358448,-.042583883,.013216141,.0065552355,.0061193695,-.0066609052,-.0070967712,.000023461476,.000023364826,-.00035071422,HRV
HUN,.063017018,.09884195,-.093737647,.070093654,.073523358,-.29652166,.0016129568,-.052664224,.03305899,-.0018352545,.016470406,.016470406,.011586059,.037282512,.0070117586,.0067594657,.015261818,.002339616,.0010432693,.0031072714,.0041505406,.25135744,.016470406,.013684456,.016916741,-.0027859497,.00044633378,9.4654724e-06,9.4559218e-06,.0010432693,HUN
IDN,.27390498,-.52173358,.20176953,.36566526,.14214218,-.39723733,.017796444,.0020374334,.048867349,.0063021732,-.0085128676,-.0085128676,.0096763736,.025649706,.02572966,.010516913,.054425534,.0005577057,.000022912953,.010889689,.010912602,.0020996784,-.0085128676,-.0092549063,-.0083285347,-.00074203842,.0001843327,.00011853426,.00011855134,.000022912953,IDN
IND,.18092935,.18224034,.13266192,-.13233808,-.59024262,-.27275062,.014491008,.043750927,.074102595,-.00042656294,.010757894,.010757894,.0097970441,.042598478,.013177361,.00083414349,.019237766,.00042308617,.000028585393,.0038713778,.0038999633,.0073296567,.010757894,.011230356,.01080727,.00047246175,.000049375576,.000014986494,.000014985128,.000028585393,IND
IRL,.027414044,.057279721,-.47876883,-.019659255,.68529719,-.50670451,.035430573,.0041125049,.063180298,.0044985553,.0088193901,.0088193901,.018515715,.18764037,.0096592158,.011774302,.02923586,-.00039081683,-.000096433498,.0064030755,.0063066422,-.015290783,.0088193901,.0073966286,.010632969,-.0014227614,.0018135782,.000037749487,.000037710313,-.000096433498,IRL
IRN,.27386582,-.12836511,.21682881,.33179441,.15399708,-.20602033,.029999476,.018709105,.043739077,-.012273454,-.0031690139,-.0031690139,.024294769,.037881564,.014378027,.037118793,.028044557,.00088090886,.000078274519,.0056216912,.0056999656,.013732455,-.0031690139,-.0040547564,-.0031641803,-.00088574231,4.8334564e-06,.000031705069,.000031603387,.000078274519,IRN
