model,estimator,wald_p,boot_p
BCH,lasso,.0002365379655848,.007007007007007
BCH,post lasso,.0013374771462315,.007007007007007
BCH,pds,.0015299566772493,.004004004004004
Driscoll-Kraay,No controls,3.61114571993e-08,0
Driscoll-Kraay,Controls,5.37965070965e-10,0
Driscoll-Kraay,Controls + Trend,.000027471407717,.004004004004004
